edad_victima,mes,es_fin_de_semana,temperatura_media,lluvia_mm,velocidad_viento,humedad_relativa,sexo_victima_M,rol_victima_CONDUCTOR,rol_victima_Conductor,rol_victima_PASAJERO,rol_victima_PEATON,rol_victima_SD,rol_victima_conductor,rol_victima_sd
2.798942329503458,2,0,25.8,0.0,11.1,58.0,0,0,0,0,0,1,0,0
1.4666470863055734,6,0,10.4,0.0,16.7,98.0,1,0,0,0,0,1,0,0
-0.9758941928905487,12,0,21.3,0.0,10.1,70.0,1,0,0,0,0,1,0,0
-0.45777937609137126,3,0,21.9,0.1,15.2,75.0,0,0,0,0,1,0,0,0
-0.6058121808911363,11,0,18.1,0.0,11.3,67.0,1,0,0,0,1,0,0,0
-0.16171376649184133,3,0,19.8,0.0,12.6,69.0,1,0,0,0,0,1,0,0
-0.23573016889172382,6,0,15.3,0.0,4.8,95.0,1,0,0,0,0,1,0,0
-0.16171376649184133,3,0,24.4,0.0,20.9,47.0,1,0,0,0,0,1,0,0
-0.16171376649184133,9,1,19.6,0.0,14.9,65.0,1,0,0,0,0,0,0,0
-0.8278613880907837,1,0,27.9,0.0,7.9,57.0,0,0,0,0,0,1,0,0
0.2083682455075711,2,0,18.3,0.0,7.8,72.0,1,0,0,0,0,1,0,0
-0.16171376649184133,4,0,18.4,0.0,7.6,82.0,1,0,0,0,0,1,0,0
0.43041745270721854,11,0,17.5,0.0,12.7,77.0,0,0,0,0,0,1,0,0
-0.16171376649184133,7,0,18.9,0.0,13.0,40.0,1,0,0,0,0,1,0,0
1.9847619031047508,7,0,10.3,0.0,18.4,88.0,1,0,0,0,1,0,0,0
1.2445978791059258,2,0,30.0,0.0,11.7,61.0,1,0,0,0,0,1,0,0
-0.23573016889172382,10,0,14.9,0.0,4.6,63.0,0,0,0,0,0,1,0,0
-0.16171376649184133,5,0,15.9,0.0,29.3,71.0,0,0,0,0,0,1,0,0
-0.9758941928905487,1,0,28.6,0.0,5.7,67.0,1,0,0,0,0,1,0,0
-0.5317957784912538,6,0,8.3,0.0,5.5,75.0,1,0,0,0,0,1,0,0
-0.16171376649184133,10,0,15.0,0.0,13.2,80.0,1,0,0,0,0,0,0,0
-0.23573016889172382,2,0,22.2,0.0,20.3,72.0,0,0,0,0,0,1,0,0
-0.16171376649184133,6,1,8.9,0.0,6.8,84.0,0,0,0,0,0,1,0,0
-0.6798285832910187,3,0,19.7,0.0,9.9,68.0,1,0,0,0,0,0,0,0
0.2083682455075711,5,0,15.0,0.0,12.6,43.0,0,0,0,0,0,1,0,0
-0.5317957784912538,4,0,26.8,0.0,5.4,45.0,1,0,0,0,0,1,0,0
0.2083682455075711,9,0,19.9,0.0,12.5,35.0,1,0,0,0,0,1,0,0
1.3926306839056908,5,0,12.9,0.0,10.5,71.0,1,0,0,0,0,1,0,0
-0.16171376649184133,3,0,26.5,0.0,9.6,53.0,1,0,0,0,0,1,0,0
